,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomeElo,AwayElo,LastGame_home,LastGame_away,PastShot_home,PastShot_away,PastGoaldiff_home,PastGoaldiff_away
3285,6,15,1,8,12,14,6,2,1,0,0,0,1369.3504385590427,1591.0729273460604,7,7,95,145,-8,-5
3286,16,8,4,3,7,14,7,5,3,2,0,0,1530.7878304493938,1490.597096678913,7,7,131,96,5,0
3287,6,13,4,2,12,11,1,1,3,2,0,0,1288.6969585625309,1944.5459856795158,8,8,119,125,2,13
3288,10,9,4,1,7,14,7,3,2,2,0,0,1400.3517862420063,1627.7927580813373,7,7,108,107,-10,-10
3289,5,17,1,5,8,11,3,7,2,3,0,0,1472.5802991134979,1947.245612676611,9,8,117,143,-9,5
3290,16,3,5,2,11,14,8,1,1,3,0,0,1947.6829868177203,1401.759387293535,13,13,126,104,12,-11
3291,15,11,3,4,13,15,4,2,3,1,0,0,1376.0282505666298,1378.3247327996428,14,14,92,88,-12,-5
3292,20,10,8,1,10,16,10,6,0,2,0,0,1700.5841277351426,1340.3676203401992,14,14,123,90,13,-9
3293,15,10,1,3,8,13,6,3,1,1,0,1,1298.7976992309734,1285.5599574243263,14,13,111,109,-9,1
3294,9,13,1,2,18,14,4,6,4,1,0,1,1459.6156136198642,1520.957888222285,14,14,95,140,-8,5
3295,13,12,4,4,12,5,8,6,2,0,0,0,1500.4270389060218,1456.2750474321438,14,12,98,105,1,-10
3296,21,5,9,3,11,14,8,5,2,3,0,0,1902.2825079681038,1555.9178711690745,15,15,167,102,15,-1
3297,13,17,7,7,8,5,5,12,0,0,0,0,1626.3851570298086,1827.9838252703228,15,16,106,147,-14,7
3298,17,10,5,4,12,13,10,4,1,1,0,0,1629.5297309450234,1289.2139355623008,5,7,107,116,-11,-6
3299,18,7,7,3,8,15,9,3,1,2,0,0,1824.839251355108,1960.332750737239,5,21,149,161,2,5
3300,20,3,7,1,9,11,15,2,3,2,0,1,1967.5903064401007,1455.8357420152663,21,7,183,108,13,-12
3301,13,8,8,2,16,20,6,1,1,2,0,0,1555.7521570662502,1377.9588074131016,6,7,102,91,-5,-3
3302,23,6,10,4,7,13,9,2,2,2,0,0,1401.7451793513496,1295.143721092999,7,7,99,111,-11,2
3303,16,20,4,11,16,9,6,5,3,2,0,0,1450.3220092474046,1620.0557455649039,7,21,99,146,-6,-2
3304,11,10,1,4,8,12,5,5,0,1,0,0,1500.8663443228993,1376.394175953171,7,7,98,101,0,-10
3305,11,14,3,7,11,4,6,4,1,0,0,0,1340.3161018718163,1963.550864357965,8,20,92,141,-10,9
3306,20,8,7,4,9,14,7,2,1,2,0,0,1902.448222070928,1700.6356462035255,7,8,161,129,16,14
3307,11,9,2,4,8,8,6,4,0,1,0,0,1530.2514925947446,1947.6971947599054,9,9,133,123,4,13
3308,12,5,1,2,8,11,8,1,1,3,0,0,1967.9963006839885,1556.3715946756145,3,4,142,99,9,-3
3309,21,15,9,7,20,15,5,6,4,2,0,0,1465.7811949361749,1521.9413094027143,7,5,101,126,-10,2
